
Setting	Skin Colour	Fangs	Reflection	Film	Shadow
Dresden Files White court	Ordinary	No	Yes		Yes
Dresden Files Red court	Ordinary	Yes	?		?
Dresden Files Black court	corpse-like	No	No		?
The Sims	Varies, depending on original race	Yes	No	Yes	Yes
Touhou	Pale	Yes	Unknown	Yes	Unknown
Fright Night (1985, 2011)	Ordinary/Pale	Yes	No		Unknown
Marvel Comics	Pale/Grey/White	Yes	No		?
We Are The Night (2010)	Pale	Yes	No		Yes
Blood: The Last Vampire	Grey	Yes	Yes	Yes	Yes
Blood+	Ordinary	Mostly No	Yes	Yes	Yes
Trinity Blood Methuselahs	Varies	Yes	Yes		Yes
Trinity Blood Crusniks	Pale	Retractable	Yes		Yes
DC Comics	Pale	Yes	No		Yes
Sanctuary 	Ordinary	Yes and No	Yes		Yes
Rosario + Vampire	Ordinary	Yes	Yes	Yes	Yes
Charmed	Ordinary	Yes	?		Yes
Wizards of Waverly Place	Pale	Yes	No		Yes
Gantz	Ordinary	No	Yes		Yes
Goosebumps (Welcome To Dead House)	Pale	No	?		?
Adventure Time	Blue-gray	Yes	No		Yes
Vampire Knight	Pale	Yes	Yes		Yes
Castlevania series	Pale/Grey	Yes	No		Yes
Split	Pale	Yes	No		Yes
Tsukihime True Ancestors	Ordinary	No	Yes		Yes
Tsukihime Dead Apostles	Pale	Yes	Yes		?
Stargate	White, green or blue	No	Yes		Yes
Hollows (series) Living Low Blood	Ordinary	No	Yes		Yes
Hollows (series) Living High Blood	Pale	Yes	?		?
Hollows (series) Undead	Pale	Yes	?		?
Black Blood Brothers	Pale	Yes	?		Yes
Stephen King Type One	Yellow	Yes	No		Yes
Stephen King Type Two	Pale	Yes	No		Yes
Stephen King Type Threes	Ordinary	Yes	?		Yes
Vampirella	Ordinary	Yes	?		Yes
The Elder Scrolls	Pale	Yes	Yes		Yes
My Babysitter's a Vampire Full vampires	Ordinary	Retractable	No	No	?
My Babysitter's a Vampire Fledgling	Ordinary	Yes	Faded, or murky	No	?
The Librarian	Pale	Yes	?		Yes
David Wellington	Pale	Yes	?		?
Darkstalkers	Pale	Yes	?		Yes
The Historian	Pale	Yes	?		Yes
Itsuka Tenma no Kuro Usagi	Ordinary	Retractable	?		Yes
Monogatari Series	Pale	Yes	No		No
Jiangshi: Like rotting corpses	?	?		?	Yes
Saga of the Noble Dead	Pale	Yes	?		Yes
Doctor Who Great Vampires	Grey	Yes	?		Yes
Doctor Who Vampires	Pale	Yes	Yes		Yes
Dance in the Vampire Bund	Pale	Yes	?		Yes
BloodRayne	Pale	Yes	?		Yes
Vamps	Pale	Yes	No		Yes
The Strain	Pale	No	Yes		Yes
Blood Alone	Pale	Yes	No		?
Anno Dracula series	Pale	Yes	No		?
Hotel Transylvania (2012)	Ordinary	Yes	No		Yes
Vampireology	Pale	Yes	Yes		Yes
Blood Moon	Pale	Yes	Yes	Yes	Yes
Shadowspawn	Normal	Serrated	?		?
Shadowrun Vampires	Pale	Yes	?	?	?
Shadowrun Nosferatu	Pale	Yes	?	?	?
AdventureQuest	Normal	Yes	?		?
Vampire in Brooklyn	Normal	Retractable	No		Yes
The Shadowhunter Chronicles (The Mortal Instruments)	Pale	Yes	Yes		Yes
Penny Dreadful	Pale	Shark-like	?	?	Yes
Kate Daniels novels	?	Yes	?	?	?
From Dusk till Dawn	Pale, with scales or flaked skin	Yes	?	?	Yes
Monster High	Pale	Yes	No	There's an app that does get them to show up on film	Yes
inFamous: Festival of Blood	Pale	Yes	?	?	Yes
Kitty Norville novels		?	?	Controllable	?
American Horror Story: Hotel	Ordinary/Pale	No	?	?	Yes
Tsukuyomi: Moon Phase	Pale	Yes	Yes	Yes	Yes
Vampire Cheerleaders	Pale	Retractable	Yes	Yes	Yes
Magic: The Gathering	Pale	Yes	Yes	?	Yes
Blood Lad	Pale	Yes	Yes	Yes	Yes
Shiki	Pale	Yes	Yes	Yes	Yes
Warhammer	Pale	Yes	Yes	Yes	Yes
Seraph of the End	Pale	Yes	Yes	Yes	Yes
